title,subtitle,content,published_date,link,address_types,coordinates,site,search_term
Operação do Gaeco investiga procurador da prefeitura de Bauru por falsificação de documentos,A Operação Grileiros aconteceu na manhã desta sexta-feira (11),"O Grupo de Atuação Especial no Combate ao Crime Organizado (Gaeco), do O Ministério Público, deflagrou nesta sexta-feira (11), a segunda fase da Operação Grileiros, que investiga um esquema milionário de fraude em Bauru-SP. A quadrilha falsificava documentos para tomar posse de terrenos e imóveis de pessoas que nunca venderam suas propriedades. Entre os alvos estão um procurador da prefeitura de Bauru-SP, um corretor e outros envolvidos. De acordo com as investigações, eles falsificavam contratos e usavam laranjas para entrar com ações na Justiça e tomar os imóveis. Tudo com ajuda de um funcionário do setor de informática da prefeitura, que inseria dados falsos nos sistemas oficiais. As vítimas só descobriam o golpe quando eram surpreendidas com uma ação judicial. O QUE DIZ A PREFEITURA: A prefeitura, por meio de sua Procuradoria Geral, informou que acompanha desde a primeira fase os desdobramentos da Operação Grileiros, conduzida pelo Grupo de Atuação Especial de Combate ao Crime Organizado (GAECO). A nova etapa da operação ocorreu na manhã desta sexta-feira (11), com diligências realizadas na Secretaria de Negócios Jurídicos. Desde o início, a prefeitura tem colaborado de forma ativa e transparente com o Ministério Público e o GAECO, fornecendo documentos e informações que foram fundamentais para o avanço das investigações e para o desencadeamento da operação. No desdobramento ocorrido nesta data, a Administração Municipal reforça que segue à disposição das autoridades para contribuir com o que for necessário. Segundo informações repassadas, a investigação apura o possível envolvimento de um servidor de carreira da pasta. A prefeitura de Bauru reitera seu compromisso com a legalidade, a ética e a transparência, princípios que norteiam todas as ações da atual gestão.",04/11/2025,https://www.band.uol.com.br/band-multi/bauru-e-marilia/noticias/operacao-do-gaeco-investiga-procurador-da-prefeitura-de-bauru-por-falsificacao-de-documentos-202504111643,[],[],band,prefeitura
Prefeitura de Bauru sanciona doação de terreno para construção de centro de saúde da Fundação Amaral Carvalho,"Terreno de 10 mil metros quadrados na zona leste será usado para construir centro de diagnóstico e, futuramente, um hospital de alta complexidade. Decisão foi publicada no Diário Oficial nesta quinta-feira (17).","A Prefeitura de Bauru (SP) sancionou nesta quinta-feira (17) o projeto de lei que autoriza a doação de um terreno de 10 mil metros quadrados à Fundação Amaral Carvalho. A área, localizada na zona leste da cidade, próxima ao Núcleo Residencial Presidente Geisel, será destinada à construção de um centro de diagnóstico e tratamento. Em Jaú (SP), onde a Fundação atua com o Hospital Amaral Carvalho, apenas em 2024, foram mais de 81 mil atendimentos, dos quais 90,8% foram realizados pelo Sistema Único de Saúde (SUS). A Prefeitura de Bauru (SP) sancionou, nesta quinta-feira (17), o projeto de lei que autoriza a doação de um terreno de 10 mil metros quadrados à Fundação Amaral Carvalho. A área, localizada na zona leste da cidade, próxima ao Núcleo Residencial Presidente Geisel, será destinada à construção de um centro de diagnóstico e tratamento. Em Jaú (SP), onde a Fundação atua com o Hospital Amaral Carvalho, apenas em 2024, foram mais de 81 mil atendimentos, dos quais 90,8% foram realizados pelo Sistema Único de Saúde (SUS). De acordo com o projeto, além da estrutura inicial, está prevista para o futuro a implantação de um complexo hospitalar, incluindo centro cirúrgico para procedimentos de alta complexidade. A doação foi justificada pelo interesse público envolvido, considerando os benefícios que a nova unidade poderá trazer à população de Bauru e região. O projeto de lei já havia sido aprovado pela Câmara Municipal e, com a publicação no Diário Oficial, passa a vigorar oficialmente.",17/04/2025,https://g1.globo.com/sp/bauru-marilia/noticia/2025/04/17/prefeitura-de-bauru-sanciona-doacao-de-terreno-para-construcao-de-centro-de-saude-da-fundacao-amaral-carvalho.ghtml,['Núcleo'],"[(-22.3337928, -49.036078)]",g1,prefeitura
Servidor municipal é investigado por suspeita de importunação sexual contra jovens aprendizes em Bauru,"Duas adolescentes, de 16 e 17 anos, denunciaram que eram assediadas dentro do local de trabalho. Caso está sendo investigado pela Delegacia de Defesa da Mulher, com apoio da Prefeitura.","Um homem de 32 anos está sendo investigado por importunação sexual contra duas adolescentes de 16 e 17 anos. As jovens atuam como aprendizes em um setor público e relataram à Polícia Civil que os episódios ocorreram durante o expediente. Em uma das denúncias, a jovem de 16 anos contou que o servidor costumava chamá-la de “gostosa” e dizia que teria relações sexuais com a mãe dela, afirmando que se tornaria seu padrasto. A outra jovem, de 17 anos, disse à polícia que o homem criticava o fato de ela ter um namorado e incentivava que ela mantivesse relações sexuais com outras pessoas. A polícia investiga um servidor municipal de 32 anos suspeito de importunação sexual contra duas adolescentes, de 16 e 17 anos. O caso foi registrado na Delegacia de Defesa da Mulher de Bauru (DDM), na segunda-feira (14). As jovens atuam como aprendizes em um setor público e relataram à Polícia Civil que os episódios ocorreram durante o expediente. Em uma das denúncias, a jovem de 16 anos contou que o servidor costumava chamá-la de “gostosa” e dizia que teria relações sexuais com a mãe dela, afirmando que se tornaria seu padrasto. A adolescente afirmou que pediu diversas vezes para que ele se afastasse, mas, segundo o relato, o homem se descontrolava e começava a gritar no local de trabalho. A outra jovem, de 17 anos, disse à polícia que o homem criticava o fato dela ter um namorado e incentivava que ela mantivesse relações sexuais com outras pessoas. Segundo o boletim de ocorrência, ele também a incentivava a consumir bebidas alcoólicas e drogas. As duas jovens relataram ainda que o servidor elogiava constantemente o corpo delas.",15/04/2025,https://g1.globo.com/sp/bauru-marilia/noticia/2025/04/15/servidor-municipal-e-investigado-por-suspeita-de-importunacao-sexual-contra-jovens-aprendizes-em-bauru.ghtml,[],[],g1,prefeitura
Gaeco faz buscas na Secretaria Jurídica da Prefeitura de Bauru em ação contra grilagem de imóveis,Operação foi deflagrada com apoio da Polícia Militar e Polícia Civil e o Grupo de Atuação Especial de Combate ao Grupo Organizado (Gaeco). Investigação mira possíveis atos de corrupção envolvendo um procurador jurídico do município.,"O Gaeco deu cumprimento a mandados de busca e apreensão na Secretaria Jurídica da Prefeitura de Bauru (SP) em investigação contra grilagem de imóveis no município nesta sexta-feira (11). Segundo o Ministério Público de São Paulo (MP-SP), a ação denominada ‘Operação Grileiros’ foi deflagrada pois foram identificados novos alvos relacionados à organização criminosa investigada. O Gaeco mira possíveis atos de corrupção envolvendo um procurador jurídico da Prefeitura de Bauru, com a participação também de um corretor de imóveis e de outro integrante da organização criminosa. Até o momento, a investigação, que segue em andamento, resultou no comprimento de mais de 40 mandados de busca e apreensão, diversas prisões preventivas, medidas cautelares pessoais e sequestro de imóveis apontados como possíveis produtos do crime. O Grupo de Atuação Especial de Combate ao Grupo Organizado (Gaeco) cumpriu mandados de busca e apreensão na Secretaria Jurídica da Prefeitura de Bauru (SP) em uma investigação contra grilagem de imóveis no município nesta sexta-feira (11). Segundo o Ministério Público de São Paulo (MP-SP), a ação denominada ‘Operação Grileiros’ foi deflagrada pois foram identificados novos alvos relacionados à organização criminosa já investigada. O Gaeco mira possíveis atos de corrupção envolvendo um procurador jurídico da Prefeitura de Bauru, com a participação também de um corretor de imóveis e de outro integrante da organização criminosa. Mandados também foram realizados em São Paulo (SP). Além disso, o MP-SP identificou criminosos que auxiliavam na falsificação de contratos usados posteriormente pela organização para processos de usucapião, que é um instituto jurídico que permite adquirir uma propriedade após a posse por um período determinado, e adjudicação compulsória, que permite a transferência de um imóvel para o comprador, mesmo que o vendedor não cumpra com suas obrigações. Essa segunda fase da operação foi realizada com apoio da Polícia Militar e da Polícia Civil, e também contou com a participação de promotores de Justiça e servidores do Ministério Público. Até o momento, a investigação, que continua em andamento, resultou no comprimento de mais de 40 mandados de busca e apreensão, diversas prisões preventivas, medidas cautelares pessoais e sequestro de imóveis apontados como possíveis produtos do crime. Em nota, a Prefeitura de Bauru (SP) afirmou que tem colaborado com o Ministério Público e com o Gaeco, fornecendo documentos e informações que foram fundamentais para o avanço das investigações e para o desencadeamento da operação. A Prefeitura disse ainda que aguarda as informações oficiais para, com base em dados concretos, avaliar as providências cabíveis, quanto ao possível envolvendo de servidores. Ainda de acordo com a administração municipal, o funcionário investigado não foi afastado das funções.",12/04/2025,https://g1.globo.com/sp/bauru-marilia/noticia/2025/04/11/gaeco-realiza-buscas-na-secretaria-juridica-da-prefeitura-de-bauru-em-acao-contra-grilagem-de-imoveis.ghtml,[],[],g1,prefeitura
Prefeitura de Bauru Abre Inscrições para Processo Seletivo de Estág,,"Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 03:59 Das 01:00 às 04:59 Das 04:00 às 05:59 Das 05:00 às 05:59 Das 05:00 às 05:59 Das 06:00 às 06:59 Das 06:00 às 07:59 Das 06:00 às 07:59 Das 07:00 às 08:29 Das 08:00 às 09:59 Das 08:00 às 12:59 Das 08:30 às 11:59 Das 10:00 às 13:19 Das 12:00 às 12:29 Das 12:30 às 13:59 Das 13:00 às 13:59 Das 13:00 às 15:59 Das 13:20 às 13:59 Das 14:00 às 15:59 Das 14:00 às 16:29 Das 16:00 às 17:59 Das 16:00 às 19:19 Das 16:30 às 17:59 Das 18:00 às 18:20 Das 18:00 às 18:59 Das 18:21 às 18:59 Das 19:00 às 19:29 Das 19:00 às 19:59 Das 19:20 às 21:19 Das 19:30 às 20:59 Das 20:00 às 20:59 Das 21:00 às 21:59 Das 21:00 às 21:59 Das 21:20 às 23:59 Das 22:00 às 23:59 Das 22:00 às 23:59 A Prefeitura de Bauru, por meio da Secretaria da Administração, abriu as inscrições para o processo seletivo de estágio nesta terça-feira (1). A seleção será realizada pela empresa Recrutamento Brasil e oferece vagas para ensino técnico em Administração e ensino superior nos cursos de Ciências Biológicas e Administração. As inscrições são gratuitas e podem ser feitas até às 12h do dia 15 de abril. As vagas oferecem jornadas de 20 ou 30 horas semanais, com bolsas-auxílio que variam de R$ 425,34 a R$ 638,05. Além disso, os estagiários terão direito a vale-alimentação no valor de R$ 933,33 e vale-transporte. Para participar, os candidatos devem estar cursando a partir do primeiro ano dos respectivos cursos. O processo seletivo consiste em uma única prova objetiva, com 30 questões nas áreas de Língua Portuguesa, Matemática e Conhecimentos Gerais. A prova será realizada de forma virtual no dia 16 de abril. O edital completo pode ser acessado no site do Recrutamento Brasil, clicando aqui. Em 17/04/2025 Em 16/04/2025 Rua Marcos Augusto Genovez Serra 3-35 Vila Regina Cep: 17012-647 Bauru – SP Text",01/04/2025,https://www.94fm.com.br/noticias/prefeitura-de-bauru-abre-inscricoes-para-processo-seletivo-de-estagio/,[],[],94fm,prefeitura
Prefeitura de Bauru realiza recape em diversas quadras da avenida Rodr,,"Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 03:59 Das 01:00 às 04:59 Das 04:00 às 05:59 Das 05:00 às 05:59 Das 05:00 às 05:59 Das 06:00 às 06:59 Das 06:00 às 07:59 Das 06:00 às 07:59 Das 07:00 às 08:29 Das 08:00 às 09:59 Das 08:00 às 12:59 Das 08:30 às 11:59 Das 10:00 às 13:19 Das 12:00 às 12:29 Das 12:30 às 13:59 Das 13:00 às 13:59 Das 13:00 às 15:59 Das 13:20 às 13:59 Das 14:00 às 15:59 Das 14:00 às 16:29 Das 16:00 às 17:59 Das 16:00 às 19:19 Das 16:30 às 17:59 Das 18:00 às 18:20 Das 18:00 às 18:59 Das 18:21 às 18:59 Das 19:00 às 19:29 Das 19:00 às 19:59 Das 19:20 às 21:19 Das 19:30 às 20:59 Das 20:00 às 20:59 Das 21:00 às 21:59 Das 21:00 às 21:59 Das 21:20 às 23:59 Das 22:00 às 23:59 Das 22:00 às 23:59 A Secretaria Municipal de Obras iniciou nesta quarta-feira (19/03), o recape de novos trechos da avenida Rodrigues Alves. O serviço será nos quarteirões 20 a 25, e 27 a 41, na região da Vila Cardia, Higienópolis e Jardim Guadalajara, e na rotatória de acesso ao Distrito Industrial I. Também serão recapeadas a avenida Hélio Pólice, no quarteirão 1, e a rua São Patrício, nos quarteirões 1 a 19, no Jardim Redentor. O investimento é de quase 3 milhões e meio de reais, com recursos de emenda parlamentar do ex-deputado federal Rodrigo Agostinho. A avenida Rodrigues Alves já teve um trecho recuperado no primeiro governo da prefeita Suéllen Rosim, com conclusão dos serviços em 2023. Em 17/04/2025 Em 16/04/2025 Rua Marcos Augusto Genovez Serra 3-35 Vila Regina Cep: 17012-647 Bauru – SP Text",20/03/2025,https://www.94fm.com.br/noticias/prefeitura-de-bauru-realiza-recape-em-diversas-quadras-da-avenida-rodrigues-alves/,"['rua', 'avenida', 'Vila', 'Jardim']","[(-22.3163967, -49.0330749)]",94fm,prefeitura
Prefeitura inicia consulta para licitação de 44 linhas do sistema de,,"Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 03:59 Das 01:00 às 04:59 Das 04:00 às 05:59 Das 05:00 às 05:59 Das 05:00 às 05:59 Das 06:00 às 06:59 Das 06:00 às 07:59 Das 06:00 às 07:59 Das 07:00 às 08:29 Das 08:00 às 09:59 Das 08:00 às 12:59 Das 08:30 às 11:59 Das 10:00 às 13:19 Das 12:00 às 12:29 Das 12:30 às 13:59 Das 13:00 às 13:59 Das 13:00 às 15:59 Das 13:20 às 13:59 Das 14:00 às 15:59 Das 14:00 às 16:29 Das 16:00 às 17:59 Das 16:00 às 19:19 Das 16:30 às 17:59 Das 18:00 às 18:20 Das 18:00 às 18:59 Das 18:21 às 18:59 Das 19:00 às 19:29 Das 19:00 às 19:59 Das 19:20 às 21:19 Das 19:30 às 20:59 Das 20:00 às 20:59 Das 21:00 às 21:59 Das 21:00 às 21:59 Das 21:20 às 23:59 Das 22:00 às 23:59 Das 22:00 às 23:59 Prefeitura de Bauru abriu prazo para consulta pública e realização de audiência online, para a contratação de empresa de prestação do serviço de transporte coletivo de passageiros. O período de consulta à minuta do edital, será aberto nesta terça-feira, seguindo até 17 de abril. Emerson Luiz tem mais informações. Além da consulta pública, a prefeitura agendou a audiência pública, no formato online, para o dia 2 de abril. Em 17/04/2025 Em 16/04/2025 Rua Marcos Augusto Genovez Serra 3-35 Vila Regina Cep: 17012-647 Bauru – SP Text",17/03/2025,https://www.94fm.com.br/noticias/prefeitura-inicia-consulta-para-licitacao-de-44-linhas-do-sistema-de-transporte-coletivo/,[],[],94fm,prefeitura
Prefeitura de Bauru mobiliza equipes para recuperação de locais afet,,"Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 03:59 Das 01:00 às 04:59 Das 04:00 às 05:59 Das 05:00 às 05:59 Das 05:00 às 05:59 Das 06:00 às 06:59 Das 06:00 às 07:59 Das 06:00 às 07:59 Das 07:00 às 08:29 Das 08:00 às 09:59 Das 08:00 às 12:59 Das 08:30 às 11:59 Das 10:00 às 13:19 Das 12:00 às 12:29 Das 12:30 às 13:59 Das 13:00 às 13:59 Das 13:00 às 15:59 Das 13:20 às 13:59 Das 14:00 às 15:59 Das 14:00 às 16:29 Das 16:00 às 17:59 Das 16:00 às 19:19 Das 16:30 às 17:59 Das 18:00 às 18:20 Das 18:00 às 18:59 Das 18:21 às 18:59 Das 19:00 às 19:29 Das 19:00 às 19:59 Das 19:20 às 21:19 Das 19:30 às 20:59 Das 20:00 às 20:59 Das 21:00 às 21:59 Das 21:00 às 21:59 Das 21:20 às 23:59 Das 22:00 às 23:59 Das 22:00 às 23:59 A Prefeitura de Bauru mobilizou diversas equipes para a limpeza e recuperação de áreas públicas, neste domingo (16/03), após as fortes chuvas que atingiram o município na noite de sábado (15/03). O principal trabalho é a retirada de galhos e de árvores, principalmente os que estão obstruindo ruas e avenidas. Foram registradas quedas de árvores ou de galhos em diversas regiões, devido à força dos ventos. Participam das ações equipes das Secretarias do Meio Ambiente (Semma), Obras, Administrações Regionais (Sear), com o apoio da Emdurb. A CPFL Paulista também atuou, neste domingo (16/03), com o reforço de equipes de Lins, Ribeirão Preto, São Carlos, Araçatuba, São Pedro, Piracicaba e Sumaré. Foram cerca de 90 pontos com interrupção no fornecimento de energia, mas que já foram restabelecidos, em sua grande maioria. A falta de energia afetou ainda poços e reservatórios do Departamento de Água e Esgoto (DAE), além das bombas de captação no Rio Batalha. A produção de água está sendo restabelecida e deve ser normalizada durante o dia em Bauru. Em 17/04/2025 Em 16/04/2025 Rua Marcos Augusto Genovez Serra 3-35 Vila Regina Cep: 17012-647 Bauru – SP Text",17/03/2025,https://www.94fm.com.br/noticias/prefeitura-de-bauru-mobiliza-equipes-para-recuperacao-de-locais-afetados-pela-chuva/,[],[],94fm,prefeitura
Prefeitura assina contrato com seis clínicas veterinárias para progr,,"Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 03:59 Das 01:00 às 04:59 Das 04:00 às 05:59 Das 05:00 às 05:59 Das 05:00 às 05:59 Das 06:00 às 06:59 Das 06:00 às 07:59 Das 06:00 às 07:59 Das 07:00 às 08:29 Das 08:00 às 09:59 Das 08:00 às 12:59 Das 08:30 às 11:59 Das 10:00 às 13:19 Das 12:00 às 12:29 Das 12:30 às 13:59 Das 13:00 às 13:59 Das 13:00 às 15:59 Das 13:20 às 13:59 Das 14:00 às 15:59 Das 14:00 às 16:29 Das 16:00 às 17:59 Das 16:00 às 19:19 Das 16:30 às 17:59 Das 18:00 às 18:20 Das 18:00 às 18:59 Das 18:21 às 18:59 Das 19:00 às 19:29 Das 19:00 às 19:59 Das 19:20 às 21:19 Das 19:30 às 20:59 Das 20:00 às 20:59 Das 21:00 às 21:59 Das 21:00 às 21:59 Das 21:20 às 23:59 Das 22:00 às 23:59 Das 22:00 às 23:59 Seis empresas de Bauru assinaram contrato com a prefeitura, para a prestação de serviços de esterilização cirúrgica e implantação de microchip em cães e gatos. O chamamento foi aberto em novembro do ano passado e, os contratos foram publicados no Diário Oficial deste sábado. O investimento total feito pelo município, será de 600 MIL REAIS, sendo CEM MIL REAIS para cada clínica contratada. O serviço será prestado às famílias em situação de vulnerabilidade social, cadastradas no ‘Programa de Castração’. A ação faz parte do ‘Programa de Controle Ético da População Canina e Felina do Município’. Para realizar o cadastro, a pessoa interessada deve procurar o Centro de Referência em Assistência Social (CRAS) mais perto de sua residência e se inscrever no programa. Assim que o serviço for realizado, as clínicas devem cadastrar os dados do animal e do tutor, no Sistema de Identificação do Fornecedor do Microchip. O contrato entre a Secretaria do Meio Ambiente e cada clínica, terá duração de um ano, podendo ser prorrogado, em caso de interesse. Em 17/04/2025 Em 16/04/2025 Rua Marcos Augusto Genovez Serra 3-35 Vila Regina Cep: 17012-647 Bauru – SP Text",08/03/2025,https://www.94fm.com.br/noticias/prefeitura-assina-contrato-com-seis-clinicas-veterinarias-para-programa-de-castracao-e-implante-de-microchip/,[],[],94fm,prefeitura
Prefeitura homologa licitação contratando seguro para quatro prédio,,"Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 00:59 Das 00:00 às 03:59 Das 01:00 às 04:59 Das 04:00 às 05:59 Das 05:00 às 05:59 Das 05:00 às 05:59 Das 06:00 às 06:59 Das 06:00 às 07:59 Das 06:00 às 07:59 Das 07:00 às 08:29 Das 08:00 às 09:59 Das 08:00 às 12:59 Das 08:30 às 11:59 Das 10:00 às 13:19 Das 12:00 às 12:29 Das 12:30 às 13:59 Das 13:00 às 13:59 Das 13:00 às 15:59 Das 13:20 às 13:59 Das 14:00 às 15:59 Das 14:00 às 16:29 Das 16:00 às 17:59 Das 16:00 às 19:19 Das 16:30 às 17:59 Das 18:00 às 18:20 Das 18:00 às 18:59 Das 18:21 às 18:59 Das 19:00 às 19:29 Das 19:00 às 19:59 Das 19:20 às 21:19 Das 19:30 às 20:59 Das 20:00 às 20:59 Das 21:00 às 21:59 Das 21:00 às 21:59 Das 21:20 às 23:59 Das 22:00 às 23:59 Das 22:00 às 23:59 Enquanto os prédios ligados à educação do município, seguem sendo alvo de furtos sem ações efetivas do poder público, a secretaria de saúde homologou pregão eletrônico para contratação de companhia seguradora para quatro prédios ligados à secretaria. Estão sendo segurados, os imóveis da sede da secretaria, do Departamento de Saúde Coletiva, da policlínica e do almoxarifado e prédios anexos. Mais informações com o repórter Emerson Luiz. No final de março do ano passado, foi registrada a explosão de um aparelho de ar-condicionado, no prédio que abriga o Departamento de Saúde Coletiva, destruindo uma das salas. O Sindicato dos Servidores chegou a acionar o Ministério Público do Trabalho, que firmou um Termo de Ajustamento de Conduta, para que os problemas identificados durante vistoria realizada, fossem solucionados pela prefeitura. Em 17/04/2025 Em 16/04/2025 Rua Marcos Augusto Genovez Serra 3-35 Vila Regina Cep: 17012-647 Bauru – SP Text",06/03/2025,https://www.94fm.com.br/noticias/prefeitura-homologa-licitacao-contratando-seguro-para-quatro-predios-da-saude/,[],[],94fm,prefeitura
